"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2063438";"";"None";"405.39";"0";"4.45";"2b";"Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12";"EC15";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";""
"CHEMBL2063442";"";"None";"419.42";"0";"4.12";"2f";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)cc4)c3)c12";"Ratio IC50";"'='";"298.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"298.0"
"CHEMBL2063465";"";"None";"405.39";"0";"3.35";"5h";"Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12";"Ratio IC50";"'='";"2.4";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2064922";"Selectivity ratio of IC50 for Aurora A kinase to IC50 for Aurora B kinase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"2.4"
"CHEMBL2063440";"";"None";"421.84";"0";"4.96";"2d";"Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c12";"IC50";"'>'";"12500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"12500.0"
"CHEMBL2063442";"";"None";"419.42";"0";"4.12";"2f";"Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)cc4)c3)c12";"IC50";"'='";"12200.0";"nM";"4.91";"";"";"UO_0000065";"11.72";"0.22";"0.79";"4.02";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"12200.0"
"CHEMBL2063455";"";"None";"418.43";"0";"3.86";"4a";"Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12";"IC50";"'='";"1279.0";"nM";"5.89";"";"";"UO_0000065";"14.08";"0.26";"2.03";"4.72";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"1279.0"
"CHEMBL2063457";"";"None";"432.46";"0";"3.87";"4c";"Cn1nc(N)c2c(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)cccc21";"IC50";"'='";"938.0";"nM";"6.03";"";"";"UO_0000065";"13.94";"0.26";"2.16";"5.28";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"938.0"
"CHEMBL2063463";"";"None";"435.88";"0";"3.54";"5e";"Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(Cl)c4)c3)c12";"IC50";"'='";"186.0";"nM";"6.73";"";"";"UO_0000065";"15.44";"0.30";"3.19";"5.32";"0";"CHEMBL2064920";"Inhibition of Aurora A kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4722";"Aurora kinase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"186.0"
"CHEMBL2063456";"";"None";"436.42";"0";"4.00";"4b";"Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12";"EC15";"'='";"143.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2064923";"Cell cycle arrest in human NCI-H1299 assessed as induction of polyploidy after 48 hrs by Hoechst staining-based fluorescence microscopic analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NCI-H1299";"None";"";"";"";"CHEMBL612255";"NCI-H1299";"Homo sapiens";"CELL-LINE";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308501";"";"";"";"143.0"
"CHEMBL2063439";"";"None";"401.43";"0";"4.61";"2c";"Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3cccc4onc(N)c34)cc2)cc1";"IC50";"'='";"82.0";"nM";"7.09";"";"";"UO_0000065";"17.65";"0.32";"2.48";"5.80";"0";"CHEMBL2064921";"Inhibition of Aurora B kinase by HTRF analysis in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2185";"Aurora kinase B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2062488";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"82.0"
